,tweet,media,favorites,sources
1354451639495782403,https://t.co/PI1R2XF9th,http://pbs.twimg.com/media/Esv6lsBXYAAsyT8.jpg,928.0,"http://www.shitpostbot.com/template/monstee-57b24746d06fd
http://www.shitpostbot.com/sourceimage/anons-life-57b657ab381e1"
1354361040721629185,https://t.co/t1F9HqhI6u,http://pbs.twimg.com/media/EsuoMKfXAAERdhF.jpg,1777.0,"http://www.shitpostbot.com/template/friend-takes-gay-joke-too-far-57f276053af24
http://www.shitpostbot.com/sourceimage/planned-59bf4902822a8"
1354353496137621507,https://t.co/NPA80XnopY,http://pbs.twimg.com/media/EsuhVAQXYAIQv2w.jpg,875.0,"http://www.shitpostbot.com/template/drunk-british-template-57b5adf1f2d9d
http://www.shitpostbot.com/sourceimage/fapping-too-hard-589f68aaf1107"
1354345937594961922,https://t.co/knVVhKhlcN,http://pbs.twimg.com/media/EsuadBTXIAAIAwo.jpg,810.0,"http://www.shitpostbot.com/template/white-kids-first-day-57b3b26cb54d4
http://www.shitpostbot.com/sourceimage/praisethelord-57b3002c83cb7"
1354338388959260672,https://t.co/i7TQMS7KKd,http://pbs.twimg.com/media/EsuTlpaWMAAfmY7.jpg,784.0,"http://www.shitpostbot.com/template/are-you-sexually-active-57b2992fc6075
http://www.shitpostbot.com/sourceimage/beat-down-57b38de69dc7a"
1354028857846870021,https://t.co/E1vCvBDCHJ,http://pbs.twimg.com/media/Esp6Eg4XYAcLtlq.jpg,3578.0,"http://www.shitpostbot.com/template/cute-delivery-driver-57bb319b94388
http://www.shitpostbot.com/sourceimage/im-bad-at-cropping-583b2224bf33f"
1353855219151605761,https://t.co/RB53ecORLu,http://pbs.twimg.com/media/EsncJdyXcAAMRkc.jpg,927.0,"http://www.shitpostbot.com/template/im-not-rea-57cba369eea2f
http://www.shitpostbot.com/sourceimage/face-of-nes-godzilla-creepypasta-58acb01cf3828"
1353032285055049730,https://t.co/UdWCzeA6xR,http://pbs.twimg.com/media/EsbvsYrW4AEtsUL.jpg,1085.0,"http://www.shitpostbot.com/template/who-is-that-bitch-57cba3484e4d6
http://www.shitpostbot.com/sourceimage/tom-wut-589523fd73538"
1352503799081000960,https://t.co/LHWbnLja0w,http://pbs.twimg.com/media/EsUPCdeXEAMOLjD.jpg,1174.0,"http://www.shitpostbot.com/template/felt-cute-588ee92945b26
http://www.shitpostbot.com/sourceimage/naked-mole-rat-57f952f73ada0"
1352488700014419968,https://t.co/M8YkldO7Ab,http://pbs.twimg.com/media/EsUBTlpXUAETPba.jpg,876.0,"http://www.shitpostbot.com/template/dream-57b1e575d0417
http://www.shitpostbot.com/sourceimage/communism-596f7d2e500d8"
1352254667061927936,https://t.co/SeP73K4F58,http://pbs.twimg.com/media/EsQsdB2XUAI2QCE.jpg,862.0,"http://www.shitpostbot.com/template/kids-will-never-know-57c6979a00a56
http://www.shitpostbot.com/sourceimage/cars-57e36a898766b"
1352232004146909188,https://t.co/sfqjO1Xpvz,http://pbs.twimg.com/media/EsQX153WMAEgfWY.jpg,823.0,"http://www.shitpostbot.com/template/such-beauty-57b290ccd7b84
http://www.shitpostbot.com/sourceimage/super-scaredy-skeletons-57d5270407664"
1351680883401617408,https://t.co/ZOxBsPz7PE,http://pbs.twimg.com/media/EsIimd8XIAEb76P.jpg,829.0,"http://www.shitpostbot.com/template/banksy-57f810c1bd014
http://www.shitpostbot.com/sourceimage/wallace-and-gromit-596e5d7de2d2a"
1351582741188538368,https://t.co/Zq80rXZAhY,http://pbs.twimg.com/media/EsHJV0fXUAAsk36.jpg,1744.0,"http://www.shitpostbot.com/template/50-shades-of-shitpost-57b448892d32a
http://www.shitpostbot.com/sourceimage/carl-thicc-af-57cbc85beb21e"
1351378893014528000,https://t.co/LD8y7Sau4F,http://pbs.twimg.com/media/EsEP8TvXYAEPRL2.jpg,1512.0,"http://www.shitpostbot.com/template/wojak-58455c66a5db9
http://www.shitpostbot.com/sourceimage/cool-dog-588c20d611ac1"
1351356240455233539,https://t.co/XCki3cK7X9,http://pbs.twimg.com/media/EsD7VwTXcAEQY2o.jpg,1239.0,"http://www.shitpostbot.com/template/tips-57c0d946bbb31
http://www.shitpostbot.com/sourceimage/drink-58a2ab5fd7495"
1351167503523868674,https://t.co/iOArvMk1Xk,http://pbs.twimg.com/media/EsBPrzVWMAIdSbO.jpg,817.0,"http://www.shitpostbot.com/template/vaccines-57bc514de4a0f
http://www.shitpostbot.com/sourceimage/dogger-57b2b56081ddb"
1351159952023367683,https://t.co/F8hH1O0zzB,http://pbs.twimg.com/media/EsBI0O3W8AIWD98.jpg,1533.0,"http://www.shitpostbot.com/template/trust-issues-57c8f43ba6e5d
http://www.shitpostbot.com/sourceimage/friendship-ended-57b90657e0eaf"
1351084445437198340,https://t.co/HDo4g2mp7d,http://pbs.twimg.com/media/EsAEJNQW4A4UElj.jpg,1230.0,"http://www.shitpostbot.com/template/who-is-this-pokemon-57b66fc0320d6
http://www.shitpostbot.com/sourceimage/mm-food-57b1d89260292"
1351046700199268352,https://t.co/ZwFnx0DVGA,http://pbs.twimg.com/media/Er_h0HsXIAEaQlC.jpg,1724.0,"http://www.shitpostbot.com/template/me-likey-57de72ffbc39e
http://www.shitpostbot.com/sourceimage/don-58d6e72d23ffc"
1350835314596732928,https://t.co/frVjvIOUDS,http://pbs.twimg.com/media/Er8hj4BW8AEiQLQ.jpg,933.0,"http://www.shitpostbot.com/template/yeah-mom-57b1d717c6a31
http://www.shitpostbot.com/sourceimage/doot-57b7a99a06797"
