,id,tweets,links
1360098842910294017,1.3600988511395512e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/xuIjAGFuA5‌‌ 
SOURCE IMAGE:‌‌ https://t.co/kYzR9UwDYF  ","http://www.shitpostbot.com/template/shurethony-betano-57e48584b135f
http://www.shitpostbot.com/sourceimage/winrar-594c542f578e7"
1360091291997130752,1.360091300603781e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/sOCuTUmMTE‌‌ 
SOURCE IMAGE:‌‌ https://t.co/HM01YOmQaN  ","http://www.shitpostbot.com/template/adult-themed-games-59e55556cb378
http://www.shitpostbot.com/sourceimage/doggo-58894effe089f"
1360083746792300544,1.360083754946093e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/Y1Of0Lt1Dh‌‌ 
SOURCE IMAGE:‌‌ https://t.co/LI9sxnHOTT  ","http://www.shitpostbot.com/template/images-like-these-57c5015d440ad
http://www.shitpostbot.com/sourceimage/fire-bird-588747ccd9403"
1360076195107377154,1.360076203693142e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/FYudC3xrVf‌‌ 
SOURCE IMAGE:‌‌ https://t.co/DPHmJ9VJNd  ","http://www.shitpostbot.com/template/when-she-aint-in-the-mood-584e354dab354
http://www.shitpostbot.com/sourceimage/bill-bob-583c797ae5d71"
1360068650804400132,1.3600686590587822e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/dxcLDGSbaC‌‌ 
SOURCE IMAGE:‌‌ https://t.co/6GZZKbd0Uf  ","http://www.shitpostbot.com/template/luv-u-baby-send-pics-xoxo-57c75e0d1db19
http://www.shitpostbot.com/sourceimage/charles-bronson-gonna-delet-you-57b1eb1e0db15"
1360061103900930051,1.360061112461443e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/ue7dyMii3p‌‌ 
SOURCE IMAGE:‌‌ https://t.co/DLh6RSBcd2  ","http://www.shitpostbot.com/template/death-grips-live-57d4758f914bc
http://www.shitpostbot.com/sourceimage/heeeeeres-zucky-5999d9f63706d"
1360053549653258242,1.3600535582305894e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/nR8orQOvgw‌‌ 
SOURCE IMAGE:‌‌ https://t.co/HaraLUQ9eN  ","http://www.shitpostbot.com/template/terrible-57d10875338ef
http://www.shitpostbot.com/sourceimage/american-hero-57b36d51d5e8b"
1360045999142633473,1.3600460075941478e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/2y3SCTsVaM‌‌ 
SOURCE IMAGE:‌‌ https://t.co/vZs7N0CGhT  ","http://www.shitpostbot.com/template/brainwashing-program-57f49b06b3442
http://www.shitpostbot.com/sourceimage/pepsidog-57c916e475a80"
1360038453673680898,1.3600384619574272e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/QRGZEzH6ug‌‌ 
SOURCE IMAGE:‌‌ https://t.co/uwqPQUa0wW  ","http://www.shitpostbot.com/template/radiohead-the-bends-58257d8fe5a1d
http://www.shitpostbot.com/sourceimage/ayy-lmao-v-999999-57b1ee3ace92b"
1360030907722301440,1.3600309160437596e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/Cq29qzvPO0‌‌ 
SOURCE IMAGE:‌‌ https://t.co/3m3oMkfchi  ","http://www.shitpostbot.com/template/beautiful-memes-5815f0b71e216
http://www.shitpostbot.com/sourceimage/winged-hussars-charge-1683-57ccf3514cba8"
1360023374894891011,1.3600233769249341e+18,".@ShitpostBot5000 7. https://t.co/vZm1MPLCui‌‌‌‌
8. https://t.co/nuksJw8cld    ","http://www.shitpostbot.com/sourceimage/headless-santa-with-a-shovel-57f1825c7dfc1
http://www.shitpostbot.com/sourceimage/wolverine-succin-57e6fa84594cb"
1360023372642607106,1.360023374894891e+18,".@ShitpostBot5000 5. https://t.co/uEll8hrKOi‌‌‌‌
6. https://t.co/lH4vCf7R5t    ","http://www.shitpostbot.com/sourceimage/quoifo-5895ca163042c
http://www.shitpostbot.com/sourceimage/harder-daddy-uwu-57b4ba8250c2f"
1360023370293780485,1.360023372642607e+18,".@ShitpostBot5000 3. https://t.co/2S4hNj1shw‌‌‌‌
4. https://t.co/shurapzIwO    ","http://www.shitpostbot.com/sourceimage/freah-schoober-57b24ad2f1eca
http://www.shitpostbot.com/sourceimage/varg-vikernes-smiling-580f3d614f0cb"
1360023367387123712,1.3600233702937805e+18,".@ShitpostBot5000  
SOURCES:
1. https://t.co/Kfl4n8PxH3‌‌‌‌
2. https://t.co/sj20WX5coE    ","http://www.shitpostbot.com/sourceimage/pickel-57bf8f0b081cc
http://www.shitpostbot.com/sourceimage/420sad-57ab07ef57229"
1360023358960713733,1.3600233673871237e+18,.@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/KC7TTGS0wc  ,http://www.shitpostbot.com/template/zombie-apocalypse-team-57cfb139e814f
1360015805015068673,1.36001581832781e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/M5yquvKglX‌‌ 
SOURCE IMAGE:‌‌ https://t.co/1kmm6hJ07z  ","http://www.shitpostbot.com/template/50-shades-of-shitpost-57b448892d32a
http://www.shitpostbot.com/sourceimage/mirrored-engineer-dancing-58c32e4282c4c"
